"","student_id","student_name","student_score","student_range","student_answer"
"1","20190001","·_ÃQ°¶",95,"top","BCCDEEDEABCD*EDAACDB"
"2","20190002","ªL¤ý§õ",81.25,"front","DCCDEEDAABCDEDDAACDB"
"3","20190003","¬x¤ý«Û",25,"bottom","BCDCDBDEBBBBBECABDDC"
"4","20190004","°¶«a®a",100,"top","BCCDEEDEABCDEEDAACDB"
"5","20190005","§»ëù«a",31.25,"bottom","ECCDBEADBBBCDBEAABDB"
"6","20190006","ªL­³½²",63.75,"mean","BCCDE*D*ADC*E*D*ACD*"
"7","20190007","¬xÄ£³¯",87.5,"front","CCCDEEDEABCDAEDAACDB"
"8","20190008","¦¶µÎ³°",62.5,"mean","CCDCEEDEEBCDDEDAACDA"
"9","20190009","³¯¤ý´­",37.5,"rear","ACCEECDEAABDAEBAEADA"
"10","20190010","³Ç´¿©ú",31.25,"bottom","BECEECDECBCBBEACAEAA"
"11","20190011","¬R¾Ð«Å",56.25,"rear","CACDEDDEABCDEAEABCDC"
"12","20190012","ÂÅ»¨¤p",37.5,"rear","DDCCEADDEBCCBECEACDB"
"13","20190013","³\ÁÂÄ¬",37.5,"rear","BEBCEDEEBDCDEEEAADDE"
"14","20190014","¯qªô»¯",75,"mean","BCADEEDEDBCDABDAACDB"
"15","20190015","´¼ªL½±",81.25,"front","BCCDEEDEABCAEEDDACCB"
"16","20190016","ªLªL¶À",93.75,"top","BCCDEEDEAECDEEDAACDB"
"17","20190017","¨}»¯§õ",100,"top","BCCDEEDEABCDEEDAACDB"
"18","20190018","Þ±«³¦¨",25,"bottom","DBCDEEDCBACADBBBAEBB"
"19","20190019","Ú]¦t©u",62.5,"mean","BCCDDEDEAECDEDADACAB"
"20","20190020","Ä¬¥à¬x",100,"top","BCCDEEDEABCDEEDAACDB"
"21","20190021","·çÁÂ§g",56.25,"rear","BB*DAEDEDB*D*E**ACDB"
"22","20190022","¿à³¯©÷",43.75,"rear","BBBBEEDBDBAAEDDCACDB"
"23","20190023","»Ê®a«H",68.75,"mean","BCCDCEDCABADEEDAACBC"
"24","20190024","¼y¶Àªô",25,"bottom","BEAEEEAEAAEDBEAACBBC"
"25","20190025","¨^®}´¼",31.25,"bottom","CBCDBDCBABDCAEAAACDE"
"26","20190026","¥à´¼ªL",100,"top","BCCDEEDEABCDEEDAACDB"
"27","20190027","±ê«T¼B",56.25,"rear","BCDAEBDEABADEEDAAAAE"
"28","20190028","§»¬xÄQ",50,"rear","BDCBEEDEABDAEABEAADB"
"29","20190029","¯³®fÞ±",100,"top","BCCDEEDEABCDEEDAACDB"
"30","20190030","´¼®¶«a",18.75,"bottom","CBDEBDDCAECAEBDCCCEB"
"31","20190031","´_´¿¤ý",25,"bottom","CACEEEDBEAADEDDBDCEC"
"32","20190032","«H§d»ö",75,"mean","BCCDCAEEEBCDEEDAACDB"
"33","20190033","¬F½±»ô",55,"rear","CCCCD*D*ABCDE*DA*CEB"
"34","20190034","·ç·¨¾Ð",37.5,"rear","DCBBBEBEDCADCEDAAEDB"
"35","20190035","ÂÅ»¯³\",63.75,"mean","B*C**EDCA**DEEDA*CDB"
"36","20190036","®]¬x¬Ó",50,"rear","BCCDEBDDDBEDDBDAABBB"
"37","20190037","«Û®]¨|",87.5,"front","BCCDEEDEABEDEEDACCDB"
"38","20190038","³Ç¥­µ¾",87.5,"front","BBADEEDEABCDEEDAACDB"
"39","20190039","®¦¬Õ½÷",62.5,"mean","ACCDEEDEDBDDEEEAAECB"
"40","20190040","§õ¶À¬x",37.5,"rear","DCCBDADCABCCEDDDACEA"
"41","20190041","ªL¥­«H",31.25,"bottom","ECBBEEDEBBDDACDCBDBB"
"42","20190042","¤å²»¦³",28.75,"bottom","ECEEEADDC*AEEEDBAC**"
"43","20190043","µ¾´_§õ",62.5,"mean","CCCBEEDEABCDECEEDCDB"
"44","20190044","«Û¬Ó´¿",43.75,"rear","ACCDEBBBACCDEEBCAACB"
"45","20190045","«Å¨Î­P",37.5,"rear","BBCDDCDECCCECEDABCCE"
"46","20190046","©÷´¿·ç",87.5,"front","BCCDEEDEABCDEDDAACBB"
"47","20190047","§õ¦|ªÃ",12.5,"bottom","BCEAAEBDADDBAABBBCBB"
"48","20190048","»ô¼B°·",75,"mean","BECEEEDEABCDEACAACDB"
"49","20190049","Â²°U®}",50,"rear","BBBDEEDEABADBEBDADBB"
"50","20190050","·ì¸s§ù",37.5,"rear","BCCDAEDCEAEEECDDACEA"
"51","20190051","¶À­§®¦",31.25,"bottom","BABCABABCBCDECDAADDE"
"52","20190052","ªô¨ÎÀA",18.75,"bottom","ACEE**DCCBDD*E*C*DDD"
"53","20190053","¬Õ¬I«a",87.5,"front","BCCDEEDEABCDEADAACAB"
"54","20190054","ªlÌÉ©µ",62.5,"mean","BCADEECDABCDEEEAADCB"
"55","20190055","«³¯q°¶",100,"top","BCCDEEDEABCDEEDAACDB"
"56","20190056","ªé¬I»²",68.75,"mean","ACCDEEDEDBCBECAAACDB"
"57","20190057","¬Õ¤ýªL",58.75,"rear","E*ADEEEEABCDEECAAB*B"
"58","20190058","·O¬Õ¬f",0,"bottom","********************"
"59","20190059","¶À®aµ¾",100,"top","BCCDEEDEABCDEEDAACDB"
"60","20190060","¸­¼y¬Ó",56.25,"rear","ECCAEECEAEBDEEDEADDB"
"61","20190061","¥°¶À¸ê",25,"bottom","ECBCEBECDACBAEDACCDE"
"62","20190062","§uÂE¿«",81.25,"front","BCCDBEDEABCDEEDCACDD"
"63","20190063","»T§õªL",81.25,"front","BCCDEBDEEACDEEDAACDB"
"64","20190064","·ìµÎ©P",25,"bottom","CECDEEDACCCBEACDBEDD"
"65","20190065","¬x¦p­õ",71.25,"mean","ACBDEEDAAB*D*EDAACDB"
"66","20190066","¾Ð¥ò¦|",62.5,"mean","BCCEEEAAABCAEEDAAAAB"
"67","20190067","Ä£ªò³°",62.5,"mean","ADCAEEDEDBCDCEDAACAB"
"68","20190068","«a«a©ý",0,"bottom","********************"
"69","20190069","¼B³ìÌÉ",81.25,"front","BACDEEDEADCDEEDBACDB"
"70","20190070","¿«²[³Ó",68.75,"mean","BCCDDEBEABBDEEDCACDD"
"71","20190071","­§»¨«H",56.25,"rear","CCCDEABEABCEAECADCDB"
"72","20190072","®Ñ§õ½²",43.75,"rear","ECCDAEDABBAACEDAADDE"
"73","20190073","½±¹F¤Í",75,"mean","DCCDEEDEAEADEEEAACDB"
"74","20190074","±i«T¥à",81.25,"front","BCBDEEDEABCBEADAACDB"
"75","20190075","³¯¬f¼y",50,"rear","***A*EDEBBCDEADAA*DE"
"76","20190076","¦|½²¤ý",43.75,"rear","BCCAEEDEEECCBADCADDA"
"77","20190077","¹©¿§¾Ð",87.5,"front","BCCDBEDEABCDEEDADCDB"
"78","20190078","Â×¹Å¿«",87.5,"front","BCCDEEDAABCBEEDAACDB"
"79","20190079","ÁÂ§g§ù",17.5,"bottom","BCE*DD*DDBADD*DDEC*C"
"80","20190080","ªL³Í«a",62.5,"mean","BEEDCCDEABDDEEDAACEB"
"81","20190081","¹©¦¨ªô",62.5,"mean","BBDDEEEEABBDEBDABCDB"
"82","20190082","¤l®a¬x",75,"mean","ACCDEEDEABBDEADCACDB"
"83","20190083","¨|¹Ú¶À",43.75,"rear","DADCEEDBACCDEEBACEDB"
"84","20190084","»Ê½t«Å",75,"mean","BACDEEDEABBDEBCAACDB"
"85","20190085","¬f¿Ä©Ó",62.5,"mean","BBCDEADEBBCDECEDACDB"
"86","20190086","»ÊªL³\",12.5,"bottom","EEEDEABDDBACEEDBBACD"
"87","20190087","øÊµ¾¬R",56.25,"rear","BCEDBDDEABCDBBDAACEE"
"88","20190088","§d«h©µ",87.5,"front","DCCDEEDEADCDEEDAACDB"
"89","20190089","¦t«ÛÂE",62.5,"mean","BCCAAEDEABCCECBAACDD"
"90","20190090","»¨«H¶À",100,"top","BCCDEEDEABCDEEDAACDB"
"91","20190091","Ðw¦¨¶À",18.75,"bottom","DAEBEBBAACCDBCBBACBB"
"92","20190092","ªòÄ£·¨",57.5,"rear","*C*DC**EBBCD*EDAACD*"
"93","20190093","¤l§ù¿A",50,"rear","BCDCDEDEADCEEBDABCCB"
"94","20190094","«T³¯ÁÂ",81.25,"front","BCCDEADEABCDEADBACDB"
"95","20190095","®a½²¼B",25,"bottom","CAABEEBBADADECDAAEBD"
"96","20190096","¤ÒÄ¬¯Î",87.5,"front","BACDEEDEABEDEEDAACDB"
"97","20190097","ªL·¡©Ó",81.25,"front","BCCDEEDEABCDABDAACEB"
"98","20190098","¦¨§d²M",68.75,"mean","ACEAEEDEABADEEDAACDE"
"99","20190099","Ä¬®}¶v",81.25,"front","BCCDEADEABCDEEDBAEDB"
"100","20190100","»ô¥­¼B",68.75,"mean","BCCDDEDEABCDEEABAAAB"
