"student_id","student_name","student_score","student_range","student_answer"
"20190001","愷魏偉",95,"top","BCCDEEDEABCD*EDAACDB"
"20190002","林王李",81.25,"front","DCCDEEDAABCDEDDAACDB"
"20190003","洪王彥",25,"bottom","BCDCDBDEBBBBBECABDDC"
"20190004","偉冠家",100,"top","BCCDEEDEABCDEEDAACDB"
"20190005","宏錩冠",31.25,"bottom","ECCDBEADBBBCDBEAABDB"
"20190006","林韋蔡",63.75,"mean","BCCDE*D*ADC*E*D*ACD*"
"20190007","洪耀陳",87.5,"front","CCCDEEDEABCDAEDAACDB"
"20190008","朱舒陸",62.5,"mean","CCDCEEDEEBCDDEDAACDA"
"20190009","陳王揚",37.5,"rear","ACCEECDEAABDAEBAEADA"
"20190010","傑曾明",31.25,"bottom","BECEECDECBCBBEACAEAA"
"20190011","昱憶宣",56.25,"rear","CACDEDDEABCDEAEABCDC"
"20190012","藍豪小",37.5,"rear","DDCCEADDEBCCBECEACDB"
"20190013","許謝蘇",37.5,"rear","BEBCEDEEBDCDEEEAADDE"
"20190014","益邱趙",75,"mean","BCADEEDEDBCDABDAACDB"
"20190015","智林蔣",81.25,"front","BCCDEEDEABCAEEDDACCB"
"20190016","林林黃",93.75,"top","BCCDEEDEAECDEEDAACDB"
"20190017","良趙李",100,"top","BCCDEEDEABCDEEDAACDB"
"20190018","瑄奕成",25,"bottom","DBCDEEDCBACADBBBAEBB"
"20190019","焱宇季",62.5,"mean","BCCDDEDEAECDEDADACAB"
"20190020","蘇丞洪",100,"top","BCCDEEDEABCDEEDAACDB"
"20190021","瑞謝君",56.25,"rear","BB*DAEDEDB*D*E**ACDB"
"20190022","賴陳昌",43.75,"rear","BBBBEEDBDBAAEDDCACDB"
"20190023","銘家信",68.75,"mean","BCCDCEDCABADEEDAACBC"
"20190024","慶黃邱",25,"bottom","BEAEEEAEAAEDBEAACBBC"
"20190025","沂徐智",31.25,"bottom","CBCDBDCBABDCAEAAACDE"
"20190026","丞智林",100,"top","BCCDEEDEABCDEEDAACDB"
"20190027","梓俊劉",56.25,"rear","BCDAEBDEABADEEDAAAAE"
"20190028","宏洪麒",50,"rear","BDCBEEDEABDAEABEAADB"
"20190029","秦宸瑄",100,"top","BCCDEEDEABCDEEDAACDB"
"20190030","智振冠",18.75,"bottom","CBDEBDDCAECAEBDCCCEB"
"20190031","復曾王",25,"bottom","CACEEEDBEAADEDDBDCEC"
"20190032","信吳儀",75,"mean","BCCDCAEEEBCDEEDAACDB"
"20190033","政蔣齊",55,"rear","CCCCD*D*ABCDE*DA*CEB"
"20190034","瑞楊憶",37.5,"rear","DCBBBEBEDCADCEDAAEDB"
"20190035","藍趙許",63.75,"mean","B*C**EDCA**DEEDA*CDB"
"20190036","孫洪皇",50,"rear","BCCDEBDDDBEDDBDAABBB"
"20190037","彥孫育",87.5,"front","BCCDEEDEABEDEEDACCDB"
"20190038","傑平翔",87.5,"front","BBADEEDEABCDEEDAACDB"
"20190039","恩盈輝",62.5,"mean","ACCDEEDEDBDDEEEAAECB"
"20190040","李黃洪",37.5,"rear","DCCBDADCABCCEDDDACEA"
"20190041","林平信",31.25,"bottom","ECBBEEDEBBDDACDCBDBB"
"20190042","文祥有",28.75,"bottom","ECEEEADDC*AEEEDBAC**"
"20190043","翔復李",62.5,"mean","CCCBEEDEABCDECEEDCDB"
"20190044","彥皇曾",43.75,"rear","ACCDEBBBACCDEEBCAACB"
"20190045","宣佳致",37.5,"rear","BBCDDCDECCCECEDABCCE"
"20190046","昌曾瑞",87.5,"front","BCCDEEDEABCDEDDAACBB"
"20190047","李帆秉",12.5,"bottom","BCEAAEBDADDBAABBBCBB"
"20190048","齊劉健",75,"mean","BECEEEDEABCDEACAACDB"
"20190049","簡託徐",50,"rear","BBBDEEDEABADBEBDADBB"
"20190050","瑜群杜",37.5,"rear","BCCDAEDCEAEEECDDACEA"
"20190051","黃郁恩",31.25,"bottom","BABCABABCBCDECDAADDE"
"20190052","邱佳錦",18.75,"bottom","ACEE**DCCBDD*E*C*DDD"
"20190053","盈施冠",87.5,"front","BCCDEEDEABCDEADAACAB"
"20190054","泓旻延",62.5,"mean","BCADEECDABCDEEEAADCB"
"20190055","奕益偉",100,"top","BCCDEEDEABCDEEDAACDB"
"20190056","芷施輔",68.75,"mean","ACCDEEDEDBCBECAAACDB"
"20190057","盈王林",58.75,"rear","E*ADEEEEABCDEECAAB*B"
"20190058","慈盈柏",0,"bottom","********************"
"20190059","黃家翔",100,"top","BCCDEEDEABCDEEDAACDB"
"20190060","葉慶皇",56.25,"rear","ECCAEECEAEBDEEDEADDB"
"20190061","弘黃資",25,"bottom","ECBCEBECDACBAEDACCDE"
"20190062","吟鴻翰",81.25,"front","BCCDBEDEABCDEEDCACDD"
"20190063","蓉李林",81.25,"front","BCCDEBDEEACDEEDAACDB"
"20190064","瑜舒周",25,"bottom","CECDEEDACCCBEACDBEDD"
"20190065","洪如哲",71.25,"mean","ACBDEEDAAB*D*EDAACDB"
"20190066","憶仲帆",62.5,"mean","BCCEEEAAABCAEEDAAAAB"
"20190067","耀邵陸",62.5,"mean","ADCAEEDEDBCDCEDAACAB"
"20190068","冠冠昕",0,"bottom","********************"
"20190069","劉喬旻",81.25,"front","BACDEEDEADCDEEDBACDB"
"20190070","翰涵勝",68.75,"mean","BCCDDEBEABBDEEDCACDD"
"20190071","郁豪信",56.25,"rear","CCCDEABEABCEAECADCDB"
"20190072","書李蔡",43.75,"rear","ECCDAEDABBAACEDAADDE"
"20190073","蔣達友",75,"mean","DCCDEEDEAEADEEEAACDB"
"20190074","張俊丞",81.25,"front","BCBDEEDEABCBEADAACDB"
"20190075","陳柏慶",50,"rear","***A*EDEBBCDEADAA*DE"
"20190076","帆蔡王",43.75,"rear","BCCAEEDEEECCBADCADDA"
"20190077","鼎縉憶",87.5,"front","BCCDBEDEABCDEEDADCDB"
"20190078","豐嘉翰",87.5,"front","BCCDEEDAABCBEEDAACDB"
"20190079","謝君杜",17.5,"bottom","BCE*DD*DDBADD*DDEC*C"
"20190080","林凱冠",62.5,"mean","BEEDCCDEABDDEEDAACEB"
"20190081","鼎成邱",62.5,"mean","BBDDEEEEABBDEBDABCDB"
"20190082","子家洪",75,"mean","ACCDEEDEABBDEADCACDB"
"20190083","育夢黃",43.75,"rear","DADCEEDBACCDEEBACEDB"
"20190084","銘緣宣",75,"mean","BACDEEDEABBDEBCAACDB"
"20190085","柏融承",62.5,"mean","BBCDEADEBBCDECEDACDB"
"20190086","銘林許",12.5,"bottom","EEEDEABDDBACEEDBBACD"
"20190087","鑫翔昱",56.25,"rear","BCEDBDDEABCDBBDAACEE"
"20190088","吳則延",87.5,"front","DCCDEEDEADCDEEDAACDB"
"20190089","宇彥鴻",62.5,"mean","BCCAAEDEABCCECBAACDD"
"20190090","豪信黃",100,"top","BCCDEEDEABCDEEDAACDB"
"20190091","苡成黃",18.75,"bottom","DAEBEBBAACCDBCBBACBB"
"20190092","邵耀楊",57.5,"rear","*C*DC**EBBCD*EDAACD*"
"20190093","子杜澤",50,"rear","BCDCDEDEADCEEBDABCCB"
"20190094","俊陳謝",81.25,"front","BCCDEADEABCDEADBACDB"
"20190095","家蔡劉",25,"bottom","CAABEEBBADADECDAAEBD"
"20190096","夫蘇翁",87.5,"front","BACDEEDEABEDEEDAACDB"
"20190097","林楚承",81.25,"front","BCCDEEDEABCDABDAACEB"
"20190098","成吳清",68.75,"mean","ACEAEEDEABADEEDAACDE"
"20190099","蘇徐鈞",81.25,"front","BCCDEADEABCDEEDBAEDB"
"20190100","齊平劉",68.75,"mean","BCCDDEDEABCDEEABAAAB"
"20190101","丞彬凱",56.25,"rear","BAADBEDEABCBEDDEACDD"
"20190102","廷天緣",43.75,"rear","BAEDEEDCEBCCCCCBACDB"
"20190103","黃家勝",50,"rear","BCCDEEDBADCDADCECADB"
"20190104","明昱楊",37.5,"rear","DCCECEBDDECDACAAACDB"
"20190105","榮許林",87.5,"front","ACCDEEDEDBCDEEDAACDB"
"20190106","李李陳",81.25,"front","BECDEEDEABCDEADAACDA"
"20190107","李夢君",93.75,"top","BCADEEDEABCDEEDAACDB"
"20190108","盈祥宜",12.5,"bottom","DDEBBEEDABCDEBEECDEA"
"20190109","謙朱黃",50,"rear","BCDBEEDDDBCCEBDABCAB"
"20190110","家專謙",81.25,"front","BCCDDEDDABCDEEDDACDB"
"20190111","智帆宇",0,"bottom","********************"
"20190112","楊苡宸",93.75,"top","BCCDEEDEABCDEEDAACDC"
"20190113","家泓仲",81.25,"front","BCCDEEDECBDDEEDAABDB"
"20190114","研黃君",75,"mean","BCCDDEDEABCDEEDADBDA"
"20190115","林徐鼎",87.5,"front","BCEDEEDEABCDEEDAACDD"
"20190116","品鵬妤",31.25,"bottom","BCADDEDADAEEAEDADABB"
"20190117","林資翔",87.5,"front","BCCDEEDEABCDEEEABCDB"
"20190118","陳蔡戴",75,"mean","BACDBEDEABCDEEEAACAB"
"20190119","和哲陳",37.5,"rear","EACDCBAEAEEDEDBAAEDB"
"20190120","欣珊柏",81.25,"front","CBCDEEDEADCDEEDAACDB"
"20190121","盈秉錞",100,"top","BCCDEEDEABCDEEDAACDB"
"20190122","蔡翔林",81.25,"front","BACDEEDEABCDEEDAACBD"
"20190123","李帆盈",81.25,"front","BBEDEEDEABCDEADAACDB"
"20190124","信葉蔡",0,"bottom","********************"
"20190125","盈黃專",81.25,"front","ACBDEEDEABCDEECAACDB"
"20190126","群正沂",0,"bottom","********************"
"20190127","秉秉俊",100,"top","BCCDEEDEABCDEEDAACDB"
"20190128","儒陳林",38.75,"rear","DB*DEEDE**CD*CBA*BD*"
"20190129","許宏陳",68.75,"mean","BDCDEEDEABDDEAAAACDA"
"20190130","劉舜信",56.25,"rear","BCDCEBDEEBCDEEDBEEDB"
"20190131","耀曾謝",0,"bottom","********************"
"20190132","嘉陳明",62.5,"mean","BDCDBEDECBCAEEDAADDD"
"20190133","輝黃駿",6.25,"bottom","BC*DBCCB*CD*CCBA*EE*"
"20190134","楊益曾",31.25,"bottom","BDCEEBBEABEDDBACADEB"
"20190135","柏宏嘉",15,"bottom","**C**BDB*DCEA*D*BAEB"
"20190136","家潘正",43.75,"rear","BDCEEEDEADBDAEBDCCEB"
"20190137","邱凱陸",100,"top","BCCDEEDEABCDEEDAACDB"
"20190138","議洪宜",81.25,"front","BCCDECCEABCDEEDAABDB"
"20190139","陳黃鼎",43.75,"rear","DCCCEEDECDEDEEDACECD"
"20190140","黃湛恩",62.5,"mean","BECCEDDEEBCDECCAACDB"
"20190141","夫奕杜",81.25,"front","BCCDEEEEABCAEEEAACDB"
"20190142","恩鴻嘉",25,"bottom","BDCBECDEDBCEABDBEDAE"
"20190143","達焱豪",87.5,"front","BCDDECDEABCDEEDAACDB"
"20190144","琬林耀",43.75,"rear","BCDDDEDEAECECEEBCADB"
"20190145","汪邱哲",43.75,"rear","BAADBDDADBEAEEDAAEDB"
"20190146","林洪恩",56.25,"rear","BACBEEDEDBAAEECCACDB"
"20190147","舒昱嘉",42.5,"rear","ADCD**D**ECDECBAABDB"
"20190148","成陳聰",100,"top","BCCDEEDEABCDEEDAACDB"
"20190149","孟陳舒",93.75,"top","BCADEEDEABCDEEDAACDB"
"20190150","羅韋宇",100,"top","BCCDEEDEABCDEEDAACDB"
"20190151","林洪林",100,"top","BCCDEEDEABCDEEDAACDB"
"20190152","陳許雯",62.5,"mean","BECDEEDEDBCEAEDACCCB"
"20190153","洪奕賴",68.75,"mean","BCCDEEAEACCDAEDAECDE"
"20190154","柏妤凱",37.5,"rear","BDEDEABCEBCDEEEECCDA"
"20190155","俊高仁",81.25,"front","BCBDEEDEABCDEEAAACEB"
"20190156","偉柏沂",87.5,"front","BCCDEEDEABCDBEDAACDA"
"20190157","健朱宣",75,"mean","BCADEEDBABCDAEDAACDE"
"20190158","璇勝黃",62.5,"mean","BCCDEEDEADADDBBBACDB"
"20190159","澐駱有",87.5,"front","BCCDAEDEABCDEEDAACBB"
"20190160","澐李劉",18.75,"bottom","EECDBACEABDDBECDCACE"
"20190161","肯喬益",93.75,"top","BCCDEEDEABCDBEDAACDB"
"20190162","瑞峻林",75,"mean","BCCDEEDAAAADEEDAAEDB"
"20190163","錦朱章",56.25,"rear","ABCBEAAEABCDEEDAADDA"
"20190164","蘇家豪",75,"mean","BBCDEEDEACCDEEDCCCDB"
"20190165","鴻林林",100,"top","BCCDEEDEABCDEEDAACDB"
"20190166","鼎洪許",25,"bottom","CEADAEDECBCBECDECABD"
"20190167","皇成簡",100,"top","BCCDEEDEABCDEEDAACDB"
"20190168","憬復託",25,"bottom","ADAAAEDAABCAEEEABDCC"
"20190169","和傑湛",68.75,"mean","BADDEEDEABCDCEDAABEB"
"20190170","丞韻宇",31.25,"bottom","DCDACCDEABCEEEECDEAB"
"20190171","吳佩苡",93.75,"top","BCBDEEDEABCDEEDAACDB"
"20190172","家政錦",12.5,"bottom","C*CDA*B*ABE*BCEEDC*E"
"20190173","丞夫樺",18.75,"bottom","BBDCEEEBDDCDBEBDADCC"
"20190174","復梓曾",93.75,"top","BCCDEEDEABCDEEDAACAB"
"20190175","曾愷復",57.5,"rear","BACDCEBEABBAEEDAA*DA"
"20190176","彥李丞",0,"bottom","********************"
"20190177","高議李",100,"top","BCCDEEDEABCDEEDAACDB"
"20190178","峻杜苡",68.75,"mean","CCCDDEDABDCDEEDAACDB"
"20190179","柏許豪",75,"mean","BCEDEEDEABCDEEDADADD"
"20190180","延吳翁",25,"bottom","AAEDBEACABBECEDBABBB"
"20190181","鵬季蔡",31.25,"bottom","DCADCEDEDBDBDEBACDBB"
"20190182","齊楊林",87.5,"front","BCDDEEDEABCBEEDAACDB"
"20190183","陳丞家",81.25,"front","BCDDEEEEABCDEEDAAADB"
"20190184","孟韻汪",93.75,"top","BCCDEEDEADCDEEDAACDB"
"20190185","國文偉",62.5,"mean","BCCDEEEEEBEDACDAECDB"
"20190186","恩鴻陳",37.5,"rear","DBCAEDDCABCDCEAACBDD"
"20190187","智永梓",25,"bottom","CCEDBDDAEACEEADECCDC"
"20190188","邱楚詹",0,"bottom","********************"
"20190189","林俊恆",100,"top","BCCDEEDEABCDEEDAACDB"
"20190190","王薏沂",81.25,"front","DECDCEDEABCDEEDAACDB"
"20190191","黃陳毅",87.5,"front","BCCDEEDEABCAEEDAAEDB"
"20190192","曾哲友",87.5,"front","BCCDCEDEABCDEEDAAADB"
"20190193","許豐陳",81.25,"front","BCCDBEDEABCDEEDAADDE"
"20190194","信怡重",87.5,"front","BACDEEDEABCDEEDAACAB"
"20190195","葉楊復",32.5,"bottom","DDECE*D*AB***EAA*CAB"
"20190196","洪錞秉",31.25,"bottom","CDBDEECEDBCEBCDAEADA"
"20190197","林廖致",62.5,"mean","BBCDEEDEADBCEEDBACCB"
"20190198","梓俊珊",31.25,"bottom","BDACEEAAADCEDECEDCDB"
"20190199","芷駱林",43.75,"rear","EABAEEDEAECDEABCBCDB"
"20190200","王奕皇",51.25,"rear","CACDCE*EABADEEEDACDA"
"20190201","季戴黃",37.5,"rear","BACDBECCDBCCAEBAACAC"
"20190202","許冠彥",81.25,"front","BCCDDEDEADCDEEDAECDB"
"20190203","趙輔彬",43.75,"rear","ECBCEECDAECDEEDAABAD"
"20190204","簡吳昕",68.75,"mean","DEEDEEDEABCDEEDAADAB"
"20190205","駱聰正",43.75,"rear","CCABBEDDABADCBDAACDC"
"20190206","群黃澤",31.25,"bottom","BCB**CAAABCBEBDCA***"
"20190207","施林李",5,"bottom","ADAEEEBEC*E*C*DBDD*A"
"20190208","盈曾琬",81.25,"front","BCCECEDEABCDEADAACDB"
"20190209","冠輔議",43.75,"rear","BBCBEBDAACCCEEDACDCB"
"20190210","宇沂琬",31.25,"bottom","DCCDCAABABBACBDAACED"
"20190211","連柏宜",42.5,"rear","B****CDEABCD**D***DD"
"20190212","明榮益",62.5,"mean","BCCDEDDEBBCDDEAAACCD"
"20190213","陳佩豐",15,"bottom","*C***E**BEDAABDAB*AB"
"20190214","蔡林翔",62.5,"mean","BCCAEBDEABCBEEDDCBDB"
"20190215","陳翔錩",56.25,"rear","BDCDDEDECBBDEBBAACBB"
"20190216","俊益林",75,"mean","BCCDEEDDABBDEBDAACCB"
"20190217","王薏肯",87.5,"front","BCCDEEDEABCDEEEBACDB"
"20190218","宇琬仁",82.5,"front","BCCDECDEABCDEDD*ACDB"
"20190219","翔林涵",70,"mean","BCC***DEAB*D*EDAA*DB"
"20190220","邱昕旻",62.5,"mean","DCCEEEDEACCDEDDBECDB"
"20190221","奕芷邱",56.25,"rear","DECDECDEBECDCBDAACDB"
"20190222","洪豪資",45,"rear","*CCDE*DEABEC*EE*E**B"
"20190223","宇施林",0,"bottom","********************"
"20190224","泓鼎銘",83.75,"front","BC**EEDEABCDEEDAACDD"
"20190225","韋翔宗",87.5,"front","BCBDEEDEABCDAEDAACDB"
"20190226","陳盈諺",81.25,"front","BCEDEABEABCDEEDAACDB"
"20190227","翔林怡",0,"bottom","********************"
"20190228","琬成舜",31.25,"bottom","BCCADEDBABAACEDBEEAC"
"20190229","憶儒李",31.25,"bottom","ADCEAEBEEBCCCDDACCDC"
"20190230","奕邱李",87.5,"front","BCCDEEDEDBCDEEDAACBB"
"20190231","孟林林",62.5,"mean","BDCDEEDEBBBDCDDAACEB"
"20190232","楚黃張",31.25,"bottom","DCEDCCBDAECDEABAABAB"
"20190233","翁泓黃",25,"bottom","ACBDDBDEECBDEACBDCCB"
"20190234","廷偉佶",81.25,"front","BCCDEEDEAECBCEDAACDB"
"20190235","儒廷陳",46.25,"rear","BCCE****DB*DECD**CDB"
"20190236","涵忠徐",56.25,"rear","BCCBACDCADCDEEEDACDB"
"20190237","蘇林林",57.5,"rear","BDCDAEDEACCBCB*AACDB"
"20190238","趙陳徐",81.25,"front","BCCDEEDEABDDECDCACDB"
"20190239","泓梓佩",40,"rear","BACD***EA*EDEC***CDD"
"20190240","林君簡",100,"top","BCCDEEDEABCDEEDAACDB"
"20190241","錞傑峻",48.75,"rear","E*C*EADEAAEBEED**CDB"
"20190242","家仲楊",68.75,"mean","CDCDEEDEABADEADEACDB"
"20190243","益苡林",37.5,"rear","BEEDDDEECBCEEEACDCDB"
"20190244","宣奕沂",56.25,"rear","BCCAEEDEABBCEEDCAABE"
"20190245","育薏豪",25,"bottom","EBDDAEBCDBCEEEBABADC"
"20190246","仲澤陳",31.25,"bottom","BDCBEEDEECBDBEADAEED"
"20190247","吳蔡珊",75,"mean","ECCDEEDEADCDEEBAACAB"
"20190248","詞珊陳",25,"bottom","BECDEBDADECCBCDABDCA"
"20190249","李諺沂",62.5,"mean","BCADEDDEBDDAEEDAACDB"
"20190250","專愷豪",0,"bottom","********************"
"20190251","專宗家",43.75,"rear","BCAEEDEEABBAEADAACBA"
"20190252","仁羅翔",25,"bottom","CEECEDDEEECBECAEACDA"
"20190253","益林則",87.5,"front","BCCDEEDEABCDCEDACCDB"
"20190254","陽黃孟",0,"bottom","********************"
"20190255","益豪薏",0,"bottom","********************"
"20190256","邱仁珊",0,"bottom","********************"
"20190257","丞小喬",68.75,"mean","BDCDDCDEABCDECDAACCB"
"20190258","朱明蔡",81.25,"front","ACCDEEDEABEDEEDEACDB"
"20190259","駱芷雯",75,"mean","BCADDEDEABCDEADAACEB"
"20190260","宇豪泰",31.25,"bottom","AACBCEDEBEABEBCAACDC"
"20190261","偉黃鄭",100,"top","BCCDEEDEABCDEEDAACDB"
"20190262","致秉泓",31.25,"bottom","BDCEECCEEABDBEDAADAD"
"20190263","彬育汪",81.25,"front","BCCDEADEABCDEEDECCDB"
"20190264","成蔣孟",68.75,"mean","DACAEBDEABCDEEDADCDB"
"20190265","峻李劉",68.75,"mean","BEDDEEDEAACDBEDBACDB"
"20190266","李齊錦",62.5,"mean","BABBEEDEBBBDEEBAACDB"
"20190267","峻和曾",77.5,"mean","BCC*EECEABCD*EEAACDB"
"20190268","李益毓",31.25,"bottom","BDCEAEDCADCDBDDCECBE"
"20190269","苡資家",25,"bottom","EBBDECCBEACDAEDABCEC"
"20190270","鑫李郭",62.5,"mean","ECADDEDEAECDEEDAACED"
"20190271","鈞嘉慶",31.25,"bottom","AAEECEBDDBBDEECAAEDB"
"20190272","陳旻翔",43.75,"rear","BBCAEEDEACCDECBDABBC"
"20190273","冠儀泰",43.75,"rear","CCCDEBDEEBCCADAACCBB"
"20190274","鄭毓恆",75,"mean","BCAAEBDEABCDECDAACDB"
"20190275","煌翰楊",56.25,"rear","BECECEDCABCEEEEACCDB"
"20190276","智簡李",68.75,"mean","BCCEECDEEBCCEEDAADDB"
"20190277","致翰李",50,"rear","EBCDECDECBDDEECEECDB"
"20190278","涵家秦",68.75,"mean","BCCDEEDCABCDCEBACCDA"
"20190279","豐藍勝",100,"top","BCCDEEDEABCDEEDAACDB"
"20190280","喬鑫智",62.5,"mean","ACCDEDDEBBCDDEDADDDB"
"20190281","李盈吳",68.75,"mean","BCEDEEAEBBCDEDDAADDB"
"20190282","仁丞偉",43.75,"rear","CCBBAEDEEECCCEDADCDB"
"20190283","恩陳宣",42.5,"rear","BB*BEADBA*C*EEDAEE*B"
"20190284","宏皇許",68.75,"mean","BCDDEEDBABBDEEDAACED"
"20190285","韻琬謝",27.5,"bottom","BCEA**DEA*E*D*A*A*DD"
"20190286","洪銘宏",68.75,"mean","*CCD*ED*ABCDEADAA*D*"
"20190287","許許蓉",50,"rear","BCCDEEDEEACEEDBBAADC"
"20190288","廷廖林",68.75,"mean","BCCDDDEEADCDEEDDACDB"
"20190289","澐黃涵",68.75,"mean","ACCDEDDEABADDEDAAEDB"
"20190290","研翔邵",87.5,"front","BCCDAEDEABBDEEDAACDB"
"20190291","林苡涵",75,"mean","BACDEEDEABABEEDAACDA"
"20190292","帆藍忠",100,"top","BCCDEEDEABCDEEDAACDB"
"20190293","徐怡儒",81.25,"front","BCEDEEDEABDDEEDBACDB"
"20190294","朱奕秦",0,"bottom","*E****ABBBBDBABB**AC"
"20190295","李許章",75,"mean","BBCDEDDEDBCDCEDAACDB"
"20190296","薏錞曾",68.75,"mean","BCCDEEDCBBCDBBDADCDB"
"20190297","曾弘昌",81.25,"front","BCCDEEDEABDDEBBAACDB"
"20190298","謝瑜哲",68.75,"mean","BBCDEEEEABADEBEAACDB"
"20190299","信傑儒",56.25,"rear","BDCDBEDACBCDEEDDEEDB"
"20190300","廷章徐",31.25,"bottom","BBEDEDDEADCDDBBDCBDE"
"20190301","良林冠",56.25,"rear","BCC**EBE*BCDEC*AAA*B"
"20190302","柏施夫",87.5,"front","BCCDEEDEACCDEEDAAEDB"
"20190303","蔣潘黃",37.5,"rear","BCEDADABEBEAEEDCCCDB"
"20190304","錞達豪",43.75,"rear","DAEDEEDAAADDEBDABCBB"
"20190305","黃小宇",43.75,"rear","BCBDCBDDABADEEDEEDDD"
"20190306","薏蔡宏",25,"bottom","EDEAEEBDEBDDEADBADDD"
"20190307","林弘儒",62.5,"mean","BCCDCEDBABAEBEDAACDD"
